Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/71984895/salvage-2007-ford-f150-al-mobile,71984895,"4,885 USD",Future,2007,FORD,F150,4.6L  8,8,1FTRF12W27K******,CERT OF TITLE-SALVAGED,"158,984 E",EXEMPT,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71834685/salvage-2019-volvo-s60-t5-r-design-al-mobile,71834685,"19,614 USD",Future,2019,VOLV,S60 T5 R-D,2.0L  4,4,7JR102FM5KG******,CERT OF TITLE-SALVAGED,"79,876 N",NOT ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71797315/salvage-2019-infiniti-qx50-essential-al-mobile,71797315,"19,860 USD",Future,2019,INFI,QX50 ESSEN,2.0L  4,4,3PCAJ5M19KF******,CERT OF TITLE-SALVAGED,"60,629 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71743254/salvage-2016-lexus-is-350-al-mobile,71743254,"16,279 USD",Future,2016,LEXS,IS 350,3.5L  6,6,JTHBE1D21G5******,CERT OF TITLE-SALVAGE TITLE,"127,179 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71732195/salvage-2013-toyota-corolla-base-al-mobile,71732195,"8,566 USD",Future,2013,TOYT,COROLLA BA,1.8L  4,4,5YFBU4EE7DP******,CERT OF TITLE-SALVAGE TITLE,"135,437 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71492025/salvage-2008-toyota-tacoma-double-cab-prerunner-al-mobile,71492025,"6,750 USD",Future,2008,TOYT,TACOMA DOU,4.0L  6,6,3TMJU62N98M******,CERT OF TITLE-SALVAGED,"288,067 E",EXEMPT,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71483785/2009-toyota-camry-base-al-mobile,71483785,"5,204 USD",Future,2009,TOYT,CAMRY BASE,2.4L  4,4,4T1BE46K39U******,CERTIFICATE OF TITLE - JUNK,"325,987 A",ACTUAL,ALL OVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71407245/salvage-2017-honda-civic-ex-al-mobile,71407245,"15,118 USD",Future,2017,HOND,CIVIC EX,1.5L  4,4,2HGFC3B3XHH******,CERT OF TITLE-SALVAGE TITLE,"73,672 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71288034/salvage-2018-jeep-wrangler-unlimited-sport-al-mobile,71288034,"26,025 USD",Future,2018,JEP,WRANGLER U,2.0L  4,4,1C4HJXDN2JW******,CERT OF TITLE-SALVAGE TITLE,"63,834 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71177625/salvage-2024-toyota-rav4-xle-al-mobile,71177625,"38,874 USD",Future,2024,TOYT,RAV4 XLE,2.5L  4,4,4T3RWRFV6RU******,CERT OF TITLE-SALVAGED,"25,444 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
